Region, QCD, QCD_err, TTbar, TTbar_err, Wjets, Wjets_err, Zjets, Zjets_err, VV_VH, VV_VH_err, Rare_top, Rare_top_err, Rare_EWK, Rare_EWK_err, Data, Data_err, VBSVVH, VBSVVH_err
RegionA,0.198025,0.198025,0.238265,0.122161,0.077377,0.077377,0.000000,0.000000,0.000000,0.000000,0.302352,0.188564,0.553478,0.176402,0.000000,0.000000,1.013812,0.027339
RegionB,40.960709,3.052095,15.198551,1.011898,3.761854,0.598920,2.853217,0.429399,0.680566,0.469991,7.137049,1.005541,5.161558,0.532748,110.000000,10.488088,1.451830,0.033832
RegionC,381.774913,36.643109,179.945409,3.533876,9.934405,0.978263,5.939119,0.622655,1.000647,0.585332,16.482864,1.348886,18.006523,0.996504,1145.000000,33.837849,5.220629,0.060698
RegionD,17622.054006,254.902279,6907.609018,21.917527,513.358830,7.076361,461.422554,5.585110,45.930715,3.981114,670.240292,9.099181,209.215002,3.333597,46838.000000,216.420886,9.951876,0.083566
RegionD1,2222.767035,82.659017,581.783690,6.306699,72.836868,2.665327,64.447705,2.096749,9.954382,1.585022,128.550950,4.126321,79.291060,2.069048,6008.000000,77.511290,5.600739,0.063157
RegionD2,3817.856828,108.087090,971.894646,8.166992,149.220962,3.803262,124.397174,2.901983,13.002393,2.534452,187.183187,5.022321,75.010341,1.994911,10266.000000,101.321271,2.739042,0.044147
RegionD3,4163.896439,129.527549,2042.911105,11.910313,97.034228,3.086577,91.338412,2.485166,10.833427,1.631172,140.163932,3.987886,27.377345,1.199385,11435.000000,106.934559,0.988264,0.025530
RegionD4,7417.533704,172.285965,3311.019577,15.233129,194.266772,4.356508,181.239263,3.492784,12.140512,2.062234,214.342223,4.964033,27.536256,1.188998,19129.000000,138.307628,0.623831,0.019842
RegionC1,14.864024,6.998790,1.310435,0.319778,0.077225,0.077225,0.079760,0.079760,0.000000,0.000000,0.365970,0.201803,0.687480,0.189269,13.000000,3.605551,0.666638,0.021641
RegionC2,98.369955,16.220319,31.311079,1.472387,3.475396,0.578446,2.478471,0.392622,0.995310,0.585329,6.542959,0.891096,13.351859,0.860870,378.000000,19.442222,4.020461,0.053512
RegionC3,24.940228,9.742200,9.264769,0.826752,0.345403,0.179573,0.000000,0.000000,0.000000,0.000000,0.467485,0.206111,0.119767,0.082995,37.000000,6.082763,0.066047,0.006624
RegionC4,243.600706,30.589625,138.059126,3.087811,6.036381,0.764322,3.380888,0.476640,0.005337,0.001915,9.106450,0.970687,3.847418,0.457396,717.000000,26.776856,0.467483,0.017562
RegionB1,13.985230,1.720517,5.304541,0.597590,1.089789,0.327416,0.602698,0.192861,0.060220,0.246513,3.980948,0.731690,2.473009,0.365816,44.000000,6.633250,0.995578,0.027975
RegionB2,26.975479,2.520934,9.894011,0.816593,2.672065,0.501502,2.250520,0.383651,0.620345,0.400154,3.156101,0.689740,2.688549,0.387297,66.000000,8.124038,0.456253,0.019026
RegionD1dublicate,2222.767035,82.659017,581.783690,6.306699,72.836868,2.665327,64.447705,2.096749,9.954382,1.585022,128.550950,4.126321,79.291060,2.069048,6008.000000,77.511290,5.600739,0.063157
RegionD2dublicate,3817.856828,108.087090,971.894646,8.166992,149.220962,3.803262,124.397174,2.901983,13.002393,2.534452,187.183187,5.022321,75.010341,1.994911,10266.000000,101.321271,2.739042,0.044147
